timestamp,open,high,low,close,volume
1755000000000,1.334,1.334,1.2833,1.2994,24623.6
1755003600000,1.3004,1.3506,1.3004,1.3474,9106.2
1755007200000,1.3546,1.4555,1.3485,1.4525,101606.9
1755010800000,1.4426,1.5545,1.4148,1.4982,116082.6
1755014400000,1.4975,1.4975,1.36,1.391,256605.1
1755018000000,1.3852,1.4113,1.3719,1.3719,27929.4
1755021600000,1.3807,1.3894,1.3753,1.3854,28812.8
1755025200000,1.3912,1.3912,1.3632,1.3632,3304.1
1755028800000,1.3644,1.3692,1.3568,1.3675,8741.2
1755032400000,1.3683,1.3683,1.3389,1.3389,10373.0
1755036000000,1.3419,1.3431,1.3273,1.3291,4303.1
1755039600000,1.3268,1.3323,1.3191,1.3265,14869.6
1755043200000,1.3259,1.3412,1.3221,1.3305,4883.3
1755046800000,1.3261,1.3261,1.3117,1.317,3033.0
1755050400000,1.3164,1.325,1.3101,1.3245,6677.7
1755054000000,1.3259,1.3317,1.3205,1.3268,11507.4
1755057600000,1.3242,1.3389,1.3242,1.3352,9514.9
1755061200000,1.3361,1.3367,1.3268,1.3278,8854.1
1755064800000,1.3273,1.3324,1.3215,1.3224,1791.3
1755068400000,1.3241,1.331,1.3226,1.3272,1878.4
1755072000000,1.3253,1.3435,1.3253,1.3411,2188.2
1755075600000,1.3402,1.3518,1.3402,1.3473,1934.7
1755079200000,1.3463,1.3564,1.3433,1.3515,1123.8
1755082800000,1.3535,1.3714,1.3522,1.3622,10342.0
1755086400000,1.3548,1.3659,1.351,1.3525,4548.9
1755090000000,1.3547,1.3685,1.351,1.3562,8249.7
1755093600000,1.3555,1.3579,1.3393,1.3435,8961.6
1755097200000,1.3431,1.3803,1.3381,1.3745,4669.1
1755100800000,1.3727,1.3729,1.3512,1.3524,7325.7
1755104400000,1.3536,1.3542,1.3443,1.3486,3589.5
1755108000000,1.3489,1.354,1.3369,1.3448,6789.2
1755111600000,1.3443,1.352,1.342,1.352,2145.9
1755115200000,1.3502,1.3502,1.3417,1.3423,3748.5
1755118800000,1.3435,1.3435,1.3335,1.3401,3074.7
1755122400000,1.34,1.3675,1.34,1.356,6849.5
1755126000000,1.3571,1.3634,1.3553,1.3588,3793.9
1755129600000,1.359,1.371,1.357,1.3589,1051.5
1755133200000,1.3578,1.3626,1.3508,1.3586,5556.9
1755136800000,1.3596,1.3745,1.3582,1.3745,1803.3
1755140400000,1.3715,1.3841,1.3704,1.3737,43942.8
1755144000000,1.3748,1.3787,1.3628,1.3662,12547.3
1755147600000,1.3656,1.371,1.3562,1.3625,3408.9
1755151200000,1.3623,1.3635,1.3475,1.3533,1019.8
1755154800000,1.355,1.3566,1.3419,1.3478,1280.9
1755158400000,1.3474,1.3474,1.3188,1.3249,1666.2
